,DATE,TEC
603,2020-10-19 06:45:00,105
604,2020-10-19 07:00:00,129
605,2020-10-19 07:15:00,127
606,2020-10-19 07:30:00,107
607,2020-10-19 07:45:00,72
608,2020-10-19 08:00:00,69
609,2020-10-19 08:15:00,66
610,2020-10-19 08:30:00,83
611,2020-10-19 08:45:00,88
612,2020-10-19 09:00:00,97
613,2020-10-19 09:15:00,104
614,2020-10-19 09:30:00,97
615,2020-10-19 09:45:00,111
616,2020-10-19 10:00:00,113
617,2020-10-19 10:15:00,100
618,2020-10-19 10:30:00,111
619,2020-10-19 10:45:00,106
620,2020-10-19 11:00:00,85
621,2020-10-19 11:15:00,63
622,2020-10-19 11:30:00,68
623,2020-10-19 11:45:00,70
624,2020-10-19 12:00:00,84
625,2020-10-19 12:15:00,101
626,2020-10-19 12:30:00,112
627,2020-10-19 12:45:00,116
628,2020-10-19 13:00:00,115
629,2020-10-19 13:15:00,94
630,2020-10-19 13:30:00,90
631,2020-10-19 13:45:00,99
632,2020-10-19 14:00:00,108
633,2020-10-19 14:15:00,107
634,2020-10-19 14:30:00,109
635,2020-10-19 14:45:00,97
636,2020-10-19 15:00:00,105
637,2020-10-19 15:15:00,135
638,2020-10-19 15:30:00,114
639,2020-10-19 15:45:00,116
640,2020-10-19 16:00:00,124
641,2020-10-19 16:15:00,126
642,2020-10-19 16:30:00,132
643,2020-10-19 16:45:00,128
644,2020-10-19 17:00:00,149
645,2020-10-19 17:15:00,152
646,2020-10-19 17:30:00,160
647,2020-10-19 17:45:00,178
648,2020-10-19 18:00:00,184
649,2020-10-19 18:15:00,164
650,2020-10-19 18:30:00,159
651,2020-10-19 18:45:00,148
652,2020-10-19 19:00:00,144
653,2020-10-19 19:15:00,143
654,2020-10-19 19:30:00,128
655,2020-10-19 19:45:00,122
656,2020-10-19 20:00:00,137
657,2020-10-19 20:15:00,132
658,2020-10-19 20:30:00,145
659,2020-10-19 20:45:00,157
660,2020-10-19 21:00:00,159
661,2020-10-19 21:15:00,163
662,2020-10-19 21:30:00,165
663,2020-10-19 21:45:00,173
664,2020-10-19 22:00:00,167
665,2020-10-19 22:15:00,148
666,2020-10-19 22:30:00,153
667,2020-10-19 22:45:00,161
668,2020-10-19 23:00:00,156
669,2020-10-19 23:15:00,159
670,2020-10-19 23:30:00,146
671,2020-10-19 23:45:00,152
672,2020-10-20 00:00:00,154
673,2020-10-20 00:15:00,156
674,2020-10-20 00:30:00,145
675,2020-10-20 00:45:00,120
676,2020-10-20 01:00:00,108
677,2020-10-20 01:15:00,89
678,2020-10-20 01:30:00,84
679,2020-10-20 01:45:00,85
680,2020-10-20 02:00:00,96
681,2020-10-20 02:15:00,98
682,2020-10-20 02:30:00,85
683,2020-10-20 02:45:00,71
684,2020-10-20 03:00:00,80
685,2020-10-20 03:15:00,101
686,2020-10-20 03:30:00,124
687,2020-10-20 03:45:00,87
688,2020-10-20 04:00:00,74
689,2020-10-20 04:15:00,102
690,2020-10-20 04:30:00,103
691,2020-10-20 04:45:00,106
692,2020-10-20 05:00:00,126
693,2020-10-20 05:15:00,95
694,2020-10-20 05:30:00,86
695,2020-10-20 05:45:00,93
696,2020-10-20 06:00:00,102
697,2020-10-20 06:15:00,94
698,2020-10-20 06:30:00,107
699,2020-10-20 06:45:00,111
700,2020-10-20 07:00:00,135
701,2020-10-20 07:15:00,121
702,2020-10-20 07:30:00,124
703,2020-10-20 07:45:00,103
704,2020-10-20 08:00:00,62
705,2020-10-20 08:15:00,74
706,2020-10-20 08:30:00,98
707,2020-10-20 08:45:00,89
708,2020-10-20 09:00:00,86
709,2020-10-20 09:15:00,90
710,2020-10-20 09:30:00,83
